locale,key,english_value
sk,activemodel.attributes.assembly.copy_landing_page_blocks,"en Copy landing page blocks"
sk,activemodel.attributes.osp_authorization_handler.document_number,"en Unique number"
sk,activemodel.attributes.participatory_process.copy_landing_page_blocks,"en Copy landing page blocks"
sk,date.formats.order,"en d-m-y"
sk,decidim.account.omniauth_synced_profile.announcement_html,"en <p><strong>Profile synchronization</strong></p>"
sk,decidim.admin.actions.add,"en Add"
sk,decidim.admin.actions.browse,"en Browse"
sk,decidim.admin.actions.confirm_destroy,"en Confirm destroy"
sk,decidim.admin.actions.destroy,"en Destroy"
sk,decidim.admin.actions.edit,"en Edit"
sk,decidim.admin.actions.new_assembly,"en New assembly"
sk,decidim.admin.attachments.form.send_notification_to_followers,"en Send a notification to all the people following the consultation who have agreed to receive email notifications"
sk,decidim.admin.models.scope.fields.name,"en Name"
sk,decidim.admin.models.scope.fields.scope_type,"en Scope type"
sk,decidim.admin.scopes.no_scopes,"en No scopes at this level."
sk,decidim.admin.scopes.titles.scopes,"en Scopes"
sk,decidim.admin.scopes.update.error,"en There was a problem updating this scope."
sk,decidim.admin.scopes.update.success,"en Scope updated successfully"
sk,decidim.authorization_handlers.data_authorization_handler.errors.error_message,"en This field contains an error"
sk,decidim.authorization_handlers.data_authorization_handler.errors.gdpr,"en You must accept the terms and conditions"
sk,decidim.authorization_handlers.data_authorization_handler.errors.minimum_age,"en You must be over 16 years old to register"
sk,decidim.authorization_handlers.data_authorization_handler.errors.no_postal_code_result,"en No result found for this postal code"
sk,decidim.authorization_handlers.data_authorization_handler.explanation,"en Verify your identity"
sk,decidim.authorization_handlers.data_authorization_handler.fields.city,"en City"
sk,decidim.authorization_handlers.data_authorization_handler.fields.firstname,"en Firstname"
sk,decidim.authorization_handlers.data_authorization_handler.fields.gdpr,"en I accept that my data will be used to verify my identity"
sk,decidim.authorization_handlers.data_authorization_handler.fields.lastname,"en Lastname"
sk,decidim.authorization_handlers.data_authorization_handler.fields.minimum_age,"en I confirm that I am over 16 years old"
sk,decidim.authorization_handlers.data_authorization_handler.fields.phone,"en Phone number"
sk,decidim.authorization_handlers.data_authorization_handler.fields.postal_code,"en Zip code"
sk,decidim.authorization_handlers.data_authorization_handler.help_text.city,"en Your city depends on your postal code, please select your city from the dropdown list"
sk,decidim.authorization_handlers.data_authorization_handler.help_text.firstname,"en Your firstname must contain at least 1 character and be composed only of letters, spaces and special characters such as - and '"
sk,decidim.authorization_handlers.data_authorization_handler.help_text.global_help,"en It is necessary to complete this form to submit a proposal in the participatory budget."
sk,decidim.authorization_handlers.data_authorization_handler.help_text.lastname,"en Your lastname must contain at least 1 character and be composed only of letters, spaces and special characters such as - and '"
sk,decidim.authorization_handlers.data_authorization_handler.help_text.postal_code,"en Your postal code must be composed of 5 digits"
sk,decidim.authorization_handlers.data_authorization_handler.legend,"en Contact information"
sk,decidim.authorization_handlers.data_authorization_handler.name,"en Data Sharing Process"
sk,decidim.authorization_handlers.osp_authorization_handler.explanation,"en Verify your identity by entering a unique number"
sk,decidim.authorization_handlers.osp_authorization_handler.fields.document_number,"en Unique number"
sk,decidim.authorization_handlers.osp_authorization_handler.name,"en Identity Verification Form"
sk,decidim.authorization_handlers.osp_authorization_workflow.name,"en Authorization procedure"
sk,decidim.comments.comments.create.error,"en There was a problem creating the comment."
sk,decidim.components.proposals.settings.global.require_category,"en Category is required"
sk,decidim.components.proposals.settings.global.require_scope,"en Scope is required"
sk,decidim.devise.omniauth.france_connect.help_link,"en Learn more about France Connect"
sk,decidim.devise.omniauth.france_connect.introduction,"en FranceConnect is the solution offered by the public state to secure and simplify connection to your online services.."
sk,decidim.devise.shared.links.log_in_with_provider,"en Log in with %{provider}"
sk,decidim.events.proposals.author_confirmation_proposal_event.email_intro,"en Your proposal "" %{resource_title} "" was successfully received and is now public. Thank you for participating ! You can view it here:"
sk,decidim.events.proposals.author_confirmation_proposal_event.email_outro,"en You received this notification because you are the author of the proposal. You can unfollow it by visiting the proposal page ("" %{resource_title} "") and clicking on "" Unfollow ""."
sk,decidim.events.proposals.author_confirmation_proposal_event.email_subject,"en Your proposal has been published!"
sk,decidim.events.proposals.author_confirmation_proposal_event.notification_title,"en Your proposal <a href=""%{resource_path}"">%{resource_title}</a> is now live."
sk,decidim.forms.questionnaire_answer_presenter.download_attachment,"en Download attachment"
sk,decidim.forms.questionnaires.answers.files.upload_not_allowed,"en Uploading files is only allowed for connected users."
sk,decidim.forms.user_answers_serializer.email,"en Email"
sk,decidim.forms.user_answers_serializer.name,"en Name"
sk,decidim.initiatives.admin.index.initiatives_types.alert_html,"en <p>You must create at least one initiative type so participants can start creating initiatives.</p><p> %{link}</p>"
sk,decidim.initiatives.admin.index.initiatives_types.button,"en New initiative type"
sk,decidim.initiatives.admin.initiatives_types.create.error,"en An error has occurred."
sk,decidim.initiatives.admin.initiatives_types.create.success,"en A new initiative type has been successfully created. You need to define at least one scope for this initiative type so it can be used."
sk,decidim.initiatives.admin.initiatives_types.destroy.success,"en The initiative type has been successfully removed."
sk,decidim.initiatives.admin.initiatives_types.edit.update,"en Update"
sk,decidim.initiatives.create_initiative.fill_data.back,"en Back"
