locale,key,english_value
nl,activemodel.attributes.assembly.copy_landing_page_blocks,"en Copy landing page blocks"
nl,activemodel.attributes.participatory_process.copy_landing_page_blocks,"en Copy landing page blocks"
nl,date.formats.order,"en d-m-y"
nl,decidim.account.omniauth_synced_profile.announcement_html,"en <p><strong>Profile synchronization</strong></p><p>The following information is synchronized with an external identity provider:</p><ul><li>Name</li><li>Email</li></ul><p>You can't edit this information here.</p>"
nl,decidim.admin.actions.new_assembly,"en New assembly"
nl,decidim.admin.scopes.titles.scopes,"en Scopes"
nl,decidim.authorization_handlers.data_authorization_handler.errors.error_message,"en This field contains an error"
nl,decidim.authorization_handlers.data_authorization_handler.errors.gdpr,"en You must accept the terms and conditions"
nl,decidim.authorization_handlers.data_authorization_handler.errors.minimum_age,"en You must be over 16 years old to register"
nl,decidim.authorization_handlers.data_authorization_handler.errors.no_postal_code_result,"en No result found for this postal code"
nl,decidim.authorization_handlers.data_authorization_handler.explanation,"en Verify your identity"
nl,decidim.authorization_handlers.data_authorization_handler.fields.city,"en City"
nl,decidim.authorization_handlers.data_authorization_handler.fields.firstname,"en Firstname"
nl,decidim.authorization_handlers.data_authorization_handler.fields.gdpr,"en I accept that my data will be used to verify my identity"
nl,decidim.authorization_handlers.data_authorization_handler.fields.lastname,"en Lastname"
nl,decidim.authorization_handlers.data_authorization_handler.fields.minimum_age,"en I confirm that I am over 16 years old"
nl,decidim.authorization_handlers.data_authorization_handler.fields.phone,"en Phone number"
nl,decidim.authorization_handlers.data_authorization_handler.fields.postal_code,"en Zip code"
nl,decidim.authorization_handlers.data_authorization_handler.help_text.city,"en Your city depends on your postal code, please select your city from the dropdown list"
nl,decidim.authorization_handlers.data_authorization_handler.help_text.firstname,"en Your firstname must contain at least 1 character and be composed only of letters, spaces and special characters such as - and '"
nl,decidim.authorization_handlers.data_authorization_handler.help_text.global_help,"en It is necessary to complete this form to submit a proposal in the participatory budget."
nl,decidim.authorization_handlers.data_authorization_handler.help_text.lastname,"en Your lastname must contain at least 1 character and be composed only of letters, spaces and special characters such as - and '"
nl,decidim.authorization_handlers.data_authorization_handler.help_text.postal_code,"en Your postal code must be composed of 5 digits"
nl,decidim.authorization_handlers.data_authorization_handler.legend,"en Contact information"
nl,decidim.authorization_handlers.data_authorization_handler.name,"en Data Sharing Process"
nl,decidim.components.proposals.settings.global.require_category,"en Category is required"
nl,decidim.components.proposals.settings.global.require_scope,"en Scope is required"
nl,decidim.devise.omniauth.france_connect.help_link,"en Learn more about France Connect"
nl,decidim.devise.omniauth.france_connect.introduction,"en FranceConnect is the solution offered by the public state to secure and simplify connection to your online services.."
nl,decidim.devise.shared.links.log_in_with_provider,"en Log in with %{provider}"
nl,decidim.forms.questionnaire_answer_presenter.download_attachment,"en Download attachment"
nl,decidim.forms.questionnaires.answers.files.upload_not_allowed,"en Uploading files is only allowed for connected users."
nl,decidim.initiatives.admin.index.initiatives_types.alert_html,"en <p>You must create at least one initiative type so participants can start creating initiatives.</p><p> %{link}</p>"
nl,decidim.initiatives.admin.index.initiatives_types.button,"en New initiative type"
nl,decidim.initiatives.admin.initiatives_types.create.error,"en An error has occurred."
nl,decidim.initiatives.admin.initiatives_types.create.success,"en A new initiative type has been successfully created. You need to define at least one scope for this initiative type so it can be used."
nl,decidim.initiatives.admin.initiatives_types.destroy.success,"en The initiative type has been successfully removed."
nl,decidim.initiatives.admin.initiatives_types.edit.update,"en Update"
nl,decidim.initiatives.create_initiative.fill_data.back,"en Back"
nl,decidim.initiatives.create_initiative.fill_data.continue,"en Continue"
nl,decidim.initiatives.create_initiative.fill_data.fill_data_help,"en <ul> <li>Review the content of your initiative. Is your title easy to understand? Is the objective of your initiative clear?</li> <li>You have to choose the type of signature. In-person, online or a combination of both</li> <li>Which is the geographic scope of the initiative?</li> </ul>"
nl,decidim.initiatives.create_initiative.fill_data.more_information,"en (More information)"
nl,decidim.initiatives.create_initiative.fill_data.select_area,"en Select an area"
nl,decidim.initiatives.create_initiative.fill_data.select_scope,"en Select a scope"
nl,decidim.initiatives.create_initiative.select_initiative_type.new,"en Create a new initiative"
nl,decidim.initiatives.form.add_documents,"en Add documents"
nl,decidim.initiatives.form.add_image,"en Add image"
nl,decidim.initiatives.form.attachment_legend,"en (Optional) Add an attachment"
nl,decidim.initiatives.form.edit_documents,"en Edit documents"
nl,decidim.initiatives.form.edit_image,"en Edit image"
nl,decidim.initiatives.form.image_legend,"en (Optional) Add an image"
nl,decidim.initiatives.initiatives.index_header.new_initiative,"en New initiative"
nl,decidim.menu.help,"en Help"
nl,decidim.pages.home.extended.meetings,"en Meetings"
nl,decidim.pages.home.hero.welcome,"en Welcome to %{organization} !"
nl,decidim.participatory_processes.create_initiative.fill_data.back,"en Back"
nl,decidim.participatory_processes.create_initiative.fill_data.continue,"en Continue"
nl,decidim.participatory_processes.create_initiative.fill_data.fill_data_help,"en <ul> <li>Review the content of your initiative. Is your title easy to understand? Is the objective of your initiative clear?</li> <li>You have to choose the type of signature. In-person, online or a combination of both</li> <li>Which is the geographic scope of the initiative?</li> </ul>"
nl,decidim.participatory_processes.create_initiative.fill_data.more_information,"en (More information)"
nl,decidim.participatory_processes.create_initiative.fill_data.select_area,"en Select an area"
nl,decidim.participatory_processes.create_initiative.fill_data.select_scope,"en Select a scope"
nl,decidim.participatory_processes.create_initiative.select_initiative_type.new,"en Create a new initiative"
nl,decidim.participatory_processes.form.add_documents,"en Add documents"
nl,decidim.participatory_processes.form.add_image,"en Add image"
nl,decidim.participatory_processes.form.attachment_legend,"en (Optional) Add an attachment"
nl,decidim.participatory_processes.form.edit_documents,"en Edit documents"
nl,decidim.participatory_processes.form.edit_image,"en Edit image"
nl,decidim.participatory_processes.form.image_legend,"en (Optional) Add an image"
nl,decidim.participatory_processes.show.related_processes,"en Related processes"
nl,decidim.profiles.show.activity,"en Activity"
nl,decidim.proposals.actions.delete_proposal_state_confirm,"en Are you sure you want to delete this state?"
nl,decidim.proposals.actions.destroy,"en Delete state"
